transaction_id,timestamp,amount,user_id,location,device_type,is_fraud
a4eaca11-4ec9-468f-ab90-d0c2cdfa8db9,2025-06-20T23:28:31.704224,975.39,5450,NY,tablet,0
b86d9b09-229e-402a-ae57-5efc59edb723,2025-06-20T23:28:31.716245,449.88,7740,NY,mobile,0
c6a32dcd-ecbe-4957-acb3-302c7519dab3,2025-06-20T23:28:31.727677,189.35,2558,TX,desktop,0
c24b94b1-5cd5-4739-90f9-6ae57aa36e75,2025-06-20T23:28:31.740209,534.44,4501,FL,mobile,0
fca97e39-58cb-45e2-a8f6-36fcb5a0af6d,2025-06-20T23:28:31.751376,116.29,6862,TX,desktop,0
ef35a6da-ed16-4739-a462-2134a2189bc2,2025-06-20T23:28:31.763916,326.87,7592,CA,desktop,0
e2aca890-9539-4556-b172-41c4b8ef1417,2025-06-20T23:28:31.775193,631.68,2716,TX,mobile,0
509bb297-d833-40b8-a040-c19c2994eebc,2025-06-20T23:28:31.785257,949.87,2309,NY,mobile,0
fb668c76-ff97-4409-a754-44e7c7b0c9a6,2025-06-20T23:28:31.797803,458.71,3466,CA,tablet,0
d19b02df-f7eb-4b31-94e1-fc718510e598,2025-06-20T23:28:31.810341,143.29,4468,FL,tablet,0
7a4e4d2d-e31c-4a69-a513-38fee3b7dee2,2025-06-20T23:28:31.822876,778.48,5350,TX,tablet,0
121f7d52-dc2a-4012-a022-b78953b5d617,2025-06-20T23:28:31.835521,288.69,5283,CA,mobile,0
c740c97b-a1a5-44db-ac0c-8fe74d5864b1,2025-06-20T23:28:31.848172,632.65,5924,NY,mobile,0
ac581c96-65bb-4b37-a038-f55699e5d31b,2025-06-20T23:28:31.859727,570.89,4851,TX,mobile,0
19799ee1-3b37-402b-b885-648ac009b447,2025-06-20T23:28:31.869981,454.17,6026,WA,mobile,0
4b716e6a-e178-4b9b-b795-371b1cac4c0b,2025-06-20T23:28:31.881115,713.7,1551,FL,mobile,0
af63064b-68ad-4df6-8639-ab1d84f4e04f,2025-06-20T23:28:31.891535,232.23,7800,NY,desktop,0
83da6ce3-05c5-4729-aa68-2fb27c5e90a2,2025-06-20T23:28:31.904158,363.93,4072,WA,mobile,0
ec108ad9-89ac-47f5-abb1-1a6fc4f3f041,2025-06-20T23:28:31.915089,13.76,6595,FL,tablet,0
b6e0ff5a-b3dd-49d5-b29d-5b18e02f8dd5,2025-06-20T23:28:31.927731,62.66,3412,FL,tablet,0
df47c28b-be9d-44ff-a46a-a2b5bb55923f,2025-06-20T23:28:31.938786,816.61,7996,CA,desktop,0
